details_name,Cube Name
Abrade,23
Duress,21
Preordain,21
Faithless Looting,21
Lightning Bolt,20
Frantic Search,20
Dragon's Rage Channeler,20
Firebolt,19
Bloodchief's Thirst,19
Third Path Iconoclast,19
Unearth,19
Mishra's Bauble,18
Chart a Course,18
Consider,18
Carrion Feeder,18
Brainstorm,17
Scrapwork Mutt,17
Cathar Commando,17
Thought Scour,17
Bone Shards,17
Counterspell,16
Young Pyromancer,16
Gingerbrute,16
Reclamation Sage,16
Blood Artist,16
Porcelain Legionnaire,16
Mana Leak,15
Grafted Wargear,15
Cankerbloom,15
Rabbit Battery,15
Miscalculation,15
Unholy Heat,15
Opt,15
Thraben Inspector,15
Llanowar Elves,15
Prismatic Ending,14
Infernal Grasp,14
Monastery Swiftspear,14
Soulherder,14
Murderous Cut,14
Portable Hole,14
Burst Lightning,14
Dismember,14
Eternal Witness,14
Mind Stone,14
Stitcher's Supplier,13
Wild Growth,13
Inquisition of Kozilek,13
Selesnya Sanctuary,13
Fire // Ice,13
Simic Growth Chamber,13
Cut Down,13
Ponder,13
Pyrite Spellbomb,13
Ephemerate,13
Ash Barrens,13
Lightning Helix,13
Usher of the Fallen,13
Golgari Rot Farm,13
Touch the Spirit Realm,13
Path to Exile,13
Treetop Village,12
Fact or Fiction,12
Lose Focus,12
Hard Evidence,12
Remand,12
Gruul Turf,12
The Underworld Cookbook,12
Bonesplitter,12
Mayhem Devil,12
Chromatic Star,12
Treasure Cruise,12
Fatal Push,12
Expressive Iteration,12
Swords to Plowshares,12
Deadly Dispute,11
Rip Apart,11
Night's Whisper,11
Flickerwisp,11
Tough Cookie,11
Animate Dead,11
Flame Slash,11
Chain Lightning,11
Mother of Runes,11
Timeless Witness,11
Incinerate,11
Memory Lapse,11
Urza's Bauble,11
Daze,11
Electrolyze,10
Rancor,10
Whirler Rogue,10
Ravenous Squirrel,10
Looter il-Kor,10
Magma Jet,10
Utopia Sprawl,10
Recommission,10
"Elas il-Kor, Sadistic Pilgrim",10
Myr Retriever,10
Azorius Chancery,10
Mulldrifter,10
Arbor Elf,10
Tireless Provisioner,10
Experiment One,10
Snuff Out,10
Sakura-Tribe Elder,10
Dimir Aqueduct,10
Mishra's Factory,10
Mogg War Marshal,10
Censor,10
Spell Pierce,10
Twinshot Sniper,10
Kitesail Freebooter,10
Goblin Bombardment,10
Izzet Boilerworks,10
Ravenous Chupacabra,9
Reinforced Ronin,9
Heirloom Blade,9
Vault Skirge,9
Cathartic Pyre,9
Galvanic Blast,9
Citizen's Crowbar,9
Flametongue Yearling,9
Cling to Dust,9
Fyndhorn Elves,9
"Saheeli, Sublime Artificer",9
Orzhov Basilica,9
"Tormod, the Desecrator",9
Goblin Cratermaker,9
Electrostatic Infantry,9
Go for the Throat,9
Satyr Wayfinder,9
Oust,9
Rakdos Carnarium,9
Reprieve,9
