details_name,Cube Name
Faithless Looting,25
Duress,22
Abrade,22
Lightning Bolt,22
Preordain,20
Unearth,20
Dragon's Rage Channeler,19
Young Pyromancer,19
Carrion Feeder,19
Bloodchief's Thirst,19
Firebolt,19
Bone Shards,19
Consider,18
Frantic Search,18
Chart a Course,18
Third Path Iconoclast,18
Thought Scour,18
Opt,17
Brainstorm,17
Reclamation Sage,17
Counterspell,17
Miscalculation,16
Mana Leak,16
Scrapwork Mutt,16
Mishra's Bauble,16
Blood Artist,16
Porcelain Legionnaire,16
Cathar Commando,16
Ephemerate,15
Grafted Wargear,15
Eternal Witness,15
Dismember,15
Usher of the Fallen,15
Llanowar Elves,15
Pyrite Spellbomb,15
Monastery Swiftspear,15
Soulherder,15
Prismatic Ending,15
Infernal Grasp,15
Selesnya Sanctuary,15
Simic Growth Chamber,14
Golgari Rot Farm,14
Rancor,14
The Underworld Cookbook,14
Portable Hole,14
Mayhem Devil,14
Gingerbrute,14
Cankerbloom,14
Rabbit Battery,14
Chromatic Star,14
Mind Stone,14
Thraben Inspector,14
Lightning Helix,14
Gruul Turf,14
Cut Down,13
Chain Lightning,13
Treasure Cruise,13
Inquisition of Kozilek,13
Path to Exile,13
Touch the Spirit Realm,13
Burst Lightning,13
Ponder,13
Unholy Heat,13
Murderous Cut,13
Ash Barrens,13
Expressive Iteration,13
Stitcher's Supplier,13
Fact or Fiction,13
Lose Focus,12
Treetop Village,12
Fire // Ice,12
Fatal Push,12
Flame Slash,12
Mother of Runes,12
Electrostatic Infantry,12
Wild Growth,12
Swords to Plowshares,12
Containment Construct,11
Ravenous Squirrel,11
Animate Dead,11
Mulldrifter,11
Censor,11
Lingering Souls,11
Bonesplitter,11
Orzhov Basilica,11
Remand,11
Arbor Elf,11
Twinshot Sniper,11
Tireless Provisioner,11
Memory Lapse,11
Urza's Bauble,11
Rip Apart,11
Rakdos Carnarium,11
Azorius Chancery,11
Izzet Boilerworks,11
Dimir Aqueduct,11
Timeless Witness,11
Goblin Cratermaker,11
Aether Spellbomb,11
Snuff Out,11
Hard Evidence,11
Signal Pest,11
Incinerate,11
Flickerwisp,11
Daze,11
Supreme Will,10
Manamorphose,10
Recommission,10
Cathartic Pyre,10
Cast Out,10
Sakura-Tribe Elder,10
"Elas il-Kor, Sadistic Pilgrim",10
Myr Retriever,10
Magma Jet,10
Viscera Seer,10
Flametongue Kavu,10
Experiment One,10
Mogg War Marshal,10
Boros Garrison,10
Goblin Bombardment,10
Electrolyze,10
Into the Roil,10
Whirler Rogue,10
Night's Whisper,10
Kitesail Freebooter,10
Patchwork Automaton,10
Zulaport Cutthroat,10
Perilous Myr,10
Deadly Dispute,10
Recruitment Officer,10
Ravenous Chupacabra,10
Battle Screech,9
Think Twice,9
Spirited Companion,9
Go for the Throat,9
"Saheeli, Sublime Artificer",9
Sprite Dragon,9
Feed the Swarm,9
Oni-Cult Anvil,9
Satyr Wayfinder,9
Mishra's Factory,9
Kitchen Finks,9
Vault Skirge,9
Necromancy,9
Winding Way,9
Oblivion Ring,9
Flametongue Yearling,9
Deep Analysis,9
Utopia Sprawl,9
Fyndhorn Elves,9
Joraga Treespeaker,9
Journey to Nowhere,9
Lightning Greaves,9
Condescend,9
Clarion Spirit,9
Hidden Stockpile,9
Heirloom Blade,9
Wall of Omens,9
Galvanic Blast,8
Baleful Strix,8
Sling-Gang Lieutenant,8
Binding the Old Gods,8
Gitaxian Probe,8
Bala Ged Recovery,8
Bloodbraid Elf,8
Forked Bolt,8
Bloodtithe Harvester,8
Kor Skyfisher,8
"Gut, True Soul Zealot",8
Burning-Tree Emissary,8
Cranial Plating,8
"Tormod, the Desecrator",8
Cult Conscript,8
Dauntless Bodyguard,8
Light Up the Stage,8
Colossal Skyturtle,8
Coiling Oracle,8
Looter il-Kor,8
Demonic Tutor,8
Jack-o'-Lantern,8
Terramorphic Expanse,8
Chromatic Sphere,8
Seasoned Hallowblade,8
Mana Tithe,8
Intangible Virtue,8
Mardu Woe-Reaper,8
Dread Return,8
Hymn to Tourach,8
Careful Study,8
Tolarian Terror,8
Heartless Act,8
Harrow,8
Mesmeric Fiend,8
Shriekmaw,8
Spell Pierce,8
Worn Powerstone,8
Price of Fame,8
Oust,8
Ornithopter of Paradise,8
Terminate,7
Mishra's Research Desk,7
"Armix, Filigree Thrasher",7
Tear Asunder,7
Discovery // Dispersal,7
Search for Tomorrow,7
Prosperous Innkeeper,7
Monoskelion,7
Izzet Charm,7
Inspiring Overseer,7
Rampant Growth,7
Adanto Vanguard,7
Psychatog,7
Delver of Secrets,7
Pteramander,7
Mental Note,7
Devoted Druid,7
Selesnya Signet,7
Sleight of Hand,7
Hooting Mandrills,7
Exclude,7
Raffine's Informant,7
Embereth Shieldbreaker,7
Heroic Reinforcements,7
Experimental Synthesizer,7
Voldaren Epicure,7
Murmuring Mystic,7
Sheoldred's Edict,7
Boros Charm,7
Razortide Bridge,7
Victimize,7
Regrowth,7
Reinforced Ronin,7
Mortarpod,7
Dryad Militant,7
Drossforge Bridge,7
Pestermite,7
Bastion of Remembrance,7
Lightning Strike,7
Lava Dart,7
Unburial Rites,7
Snakeskin Veil,7
Watcher for Tomorrow,7
Spectral Procession,7
Snap,7
Combat Courier,7
Ulcerate,7
Pacifism,7
Abundant Harvest,7
Llanowar Visionary,7
Magmatic Sinkhole,7
Arc Trail,7
Citizen's Crowbar,7
Lunarch Veteran,7
Cling to Dust,7
Arcbound Prototype,7
Blazing Rootwalla,7
Tidehollow Sculler,7
Cast Down,7
"Balmor, Battlemage Captain",7
Rite of Oblivion,6
Elves of Deep Shadow,6
Makeshift Munitions,6
Mortify,6
Ichor Wellspring,6
Thopter Engineer,6
Masked Vandal,6
Qasali Pridemage,6
Make Disappear,6
"Juri, Master of the Revue",6
Eliminate,6
Village Rites,6
Wilderness Reclamation,6
Murderous Redcap,6
Archaeomancer,6
Thran Dynamo,6
Dark Ritual,6
Mutagenic Growth,6
Cloudblazer,6
Cloud of Faeries,6
