details_name,Cube Name
Abrade,23
Faithless Looting,22
Duress,21
Preordain,21
Lightning Bolt,20
Dragon's Rage Channeler,20
Bloodchief's Thirst,19
Chart a Course,19
Consider,19
Firebolt,19
Frantic Search,19
Unearth,19
Carrion Feeder,19
Third Path Iconoclast,18
Bone Shards,17
Thought Scour,17
Brainstorm,17
Cathar Commando,17
Blood Artist,16
Miscalculation,16
Scrapwork Mutt,16
Counterspell,16
Mishra's Bauble,16
Reclamation Sage,16
Young Pyromancer,16
Porcelain Legionnaire,16
Mana Leak,15
Llanowar Elves,15
Grafted Wargear,15
Cankerbloom,15
Thraben Inspector,15
Opt,15
Eternal Witness,14
Ephemerate,14
Rabbit Battery,14
Unholy Heat,14
Portable Hole,14
Dismember,14
Gingerbrute,14
Prismatic Ending,14
Infernal Grasp,14
Mind Stone,14
Murderous Cut,14
Monastery Swiftspear,14
Selesnya Sanctuary,14
Burst Lightning,14
Soulherder,14
The Underworld Cookbook,14
Ash Barrens,13
Simic Growth Chamber,13
Path to Exile,13
Golgari Rot Farm,13
Ponder,13
Chromatic Star,13
Cut Down,13
Stitcher's Supplier,13
Gruul Turf,13
Lightning Helix,13
Pyrite Spellbomb,13
Inquisition of Kozilek,13
Usher of the Fallen,13
Swords to Plowshares,12
Fatal Push,12
Mayhem Devil,12
Expressive Iteration,12
Remand,12
Treetop Village,12
Wild Growth,12
Fact or Fiction,12
Touch the Spirit Realm,12
Chain Lightning,12
Mother of Runes,12
Lose Focus,12
Fire // Ice,12
Memory Lapse,11
Treasure Cruise,11
Twinshot Sniper,11
Timeless Witness,11
Incinerate,11
Snuff Out,11
Flickerwisp,11
Urza's Bauble,11
Animate Dead,11
Flame Slash,11
Deadly Dispute,11
Daze,11
Rancor,11
Bonesplitter,11
Hard Evidence,11
Rip Apart,11
Sakura-Tribe Elder,11
Whirler Rogue,10
Kitesail Freebooter,10
Looter il-Kor,10
Azorius Chancery,10
Arbor Elf,10
Mishra's Factory,10
Experiment One,10
Magma Jet,10
Electrolyze,10
Izzet Boilerworks,10
Mogg War Marshal,10
Night's Whisper,10
Goblin Cratermaker,10
Aether Spellbomb,10
Dimir Aqueduct,10
Signal Pest,10
Ravenous Squirrel,10
Censor,10
Deep Analysis,10
Orzhov Basilica,10
"Elas il-Kor, Sadistic Pilgrim",10
Cathartic Pyre,10
Electrostatic Infantry,10
Tireless Provisioner,10
Myr Retriever,10
Recommission,10
Goblin Bombardment,10
Rakdos Carnarium,10
Spell Pierce,9
Satyr Wayfinder,9
Citizen's Crowbar,9
Vault Skirge,9
Feed the Swarm,9
Clarion Spirit,9
Lingering Souls,9
Kitchen Finks,9
Voldaren Epicure,9
Cast Out,9
"Saheeli, Sublime Artificer",9
Ravenous Chupacabra,9
Spirited Companion,9
Perilous Myr,9
Baleful Strix,9
"Tormod, the Desecrator",9
Necromancy,9
Oust,9
Wall of Omens,9
Patchwork Automaton,9
Manamorphose,9
Boros Garrison,9
Demonic Tutor,9
Bloodbraid Elf,9
Supreme Will,9
Mulldrifter,9
Utopia Sprawl,9
Recruitment Officer,9
Terramorphic Expanse,9
Reinforced Ronin,9
Fyndhorn Elves,9
Heirloom Blade,9
Go for the Throat,9
Intangible Virtue,9
Galvanic Blast,9
Hidden Stockpile,8
Tolarian Terror,8
Bala Ged Recovery,8
Chromatic Sphere,8
Sling-Gang Lieutenant,8
Mesmeric Fiend,8
Mental Note,8
Mana Tithe,8
Burning-Tree Emissary,8
Magmatic Sinkhole,8
Weaponize the Monsters,8
Shriekmaw,8
Lightning Greaves,8
Lava Dart,8
Kor Skyfisher,8
Viscera Seer,8
Bastion of Remembrance,8
Battle Screech,8
Flametongue Kavu,8
Condescend,8
Cranial Plating,8
Reprieve,8
Stoke the Flames,8
Worn Powerstone,8
Containment Construct,8
Dauntless Bodyguard,8
"Gut, True Soul Zealot",8
Conclave Tribunal,8
Ornithopter of Paradise,8
Delver of Secrets,8
Colossal Skyturtle,8
Haywire Mite,8
Pestermite,8
Gitaxian Probe,8
Tear Asunder,8
Heartless Act,8
Into the Roil,8
Sprite Dragon,8
Flametongue Yearling,8
Journey to Nowhere,8
Izzet Charm,8
Careful Study,8
Joraga Treespeaker,8
Zulaport Cutthroat,8
Llanowar Visionary,7
Murderous Redcap,7
Snakeskin Veil,7
Snap,7
Light Up the Stage,7
Terminate,7
Embereth Shieldbreaker,7
Cling to Dust,7
Forked Bolt,7
Cult Conscript,7
Glass Casket,7
Pteramander,7
Heroic Reinforcements,7
Psychatog,7
Yotian Frontliner,7
Monoskelion,7
Mortarpod,7
Exclude,7
Masked Vandal,7
Cast Down,7
Unburial Rites,7
Ichor Wellspring,7
Rampant Growth,7
Ulcerate,7
Evolving Wilds,7
Abundant Harvest,7
Raffine's Informant,7
Hooting Mandrills,7
Mishra's Research Desk,7
Adanto Vanguard,7
Bloodtithe Harvester,7
Arcbound Prototype,7
Thriving Grove,7
Sleight of Hand,7
Harrow,7
Seasoned Hallowblade,7
Blazing Rootwalla,7
Arc Trail,7
Oblivion Ring,7
Jack-o'-Lantern,7
Fiery Temper,7
Pacifism,7
Price of Fame,7
Victimize,7
Binding the Old Gods,7
Devoted Druid,7
Combat Courier,7
Search for Tomorrow,7
Oni-Cult Anvil,7
Tribal Flames,6
Generous Ent,6
Troll of Khazad-dûm,6
Wizard's Rockets,6
Triarch Praetorian,6
Ornithopter,6
Drossforge Bridge,6
"Syr Konrad, the Grim",6
Force of Will,6
Spellstutter Sprite,6
Discovery // Dispersal,6
Agonizing Remorse,6
Scorn-Blade Berserker,6
Domri's Ambush,6
Coiling Oracle,6
Experimental Synthesizer,6
Undead Butler,6
Witch's Oven,6
Seal of Cleansing,6
Temur Battle Rage,6
Merfolk Looter,6
Dread Return,6
Everflowing Chalice,6
Goblin Anarchomancer,6
Scurry Oak,6
Hymn to Tourach,6
Dead Weight,6
Sheoldred's Edict,6
Spell Snare,6
Claim the Firstborn,6
Mortify,6
Night Scythe,6
Razortide Bridge,6
Obsessive Search,6
Barbed Spike,6
Tidehollow Sculler,6
Spectral Procession,6
Cloudblazer,6
Throne of Geth,6
Tragic Slip,6
Thriving Moor,6
Thriving Isle,6
Thriving Heath,6
Thran Dynamo,6
Thriving Bluff,6
Skullclamp,6
Beanstalk Giant,6
Tinker,6
Seeker of the Way,6
Oliphaunt,6
Bannerhide Krushok,6
Serum Visions,6
Conclave Mentor,6
Elves of Deep Shadow,6
Mutagenic Growth,6
Murmuring Mystic,6
"Balmor, Battlemage Captain",6
Tough Cookie,6
Halo Forager,6
Wall of Blossoms,6
Pyroclasm,6
Dryad Militant,6
Qasali Pridemage,6
Eliminate,6
"Erinis, Gloom Stalker",6
Wasteland,6
Resolute Reinforcements,6
Dark Ritual,6
Lunarch Veteran,6
Regrowth,6
Village Rites,6
Stern Scolding,6
Makeshift Munitions,6
Rosie Cotton of South Lane,6
Archaeomancer,6
Field of Ruin,6
Kabira Takedown,6
Make Disappear,6
Inspiring Overseer,6
"Lagomos, Hand of Hatred",6
Arc Lightning,6
Arcbound Shikari,6
Arcbound Javelineer,6
Callous Dismissal,6
Cauldron Familiar,6
Man-o'-War,6
Ingenious Smith,6
Lightning Axe,6
Rite of Oblivion,6
Repulse,6
Boros Charm,6
"Kiora, Behemoth Beckoner",6
Repeal,6
Reanimate,6
Watcher for Tomorrow,6
Lightning Strike,6
"Armix, Filigree Thrasher",6
Felidar Guardian,6
Life // Death,5
Prosperous Innkeeper,5
Springleaf Drum,5
Prophetic Prism,5
Thrill of Possibility,5
Lava Coil,5
Battle Cry Goblin,5
Putrid Imp,5
Savage Lands,5
Wandering Mind,5
Arcbound Tracker,5
Selesnya Signet,5
Basking Rootwalla,5
Neutralize,5
Sensei's Divining Top,5
Fertile Ground,5
Nested Shambler,5
Cloud of Faeries,5
Ghor-Clan Rampager,5
Jewel Thief,5
Negate,5
Legion Vanguard,5
Arcbound Mouser,5
Diabolic Servitude,5
Blightning,5
Skinrender,5
Scrabbling Claws,5
Staggershock,5
Hearth Elemental,5
Disenchant,5
Tendrils of Agony,5
Goldvein Pick,5
Seal of Fire,5
Khenra Spellspear,5
Khalni Ambush,5
Seal of Removal,5
Brain Freeze,5
Soul-Guide Lantern,5
Bitter Reunion,5
Tectonic Edge,5
Brain Maggot,5
Foundation Breaker,5
Sprout Swarm,5
Tarfire,5
Rise of the Witch-king,5
Grizzly Fate,5
Yavimaya Elder,5
Thirst for Knowledge,5
Crumbling Necropolis,5
Anger,5
Ghostly Flicker,5
Silverbluff Bridge,5
Harmonize,5
Krark-Clan Ironworks,5
Thopter Engineer,5
Syncopate,5
Beast Within,5
Vines of Vastwood,5
Haunted Mire,5
Think Twice,5
Become Immense,5
Fireblast,5
Opulent Palace,5
Drown in Ichor,5
Foundry Inspector,5
Blasting Station,5
Mystic Monastery,5
Contaminated Aquifer,5
Forbidden Alchemy,5
Mnemonic Sphere,5
Radiant Grove,5
Executioner's Capsule,5
Sandsteppe Citadel,5
Urborg Repossession,5
Molten Tributary,5
"Juri, Master of the Revue",5
Circuit Mender,5
Ashnod's Harvester,5
Eriette's Tempting Apple,5
Icy Manipulator,5
Sacred Peaks,5
Faerie Guidemother,5
Tangled Islet,5
Shelter,5
Trostani's Summoner,5
Bloodsky Berserker,5
Evolution Sage,5
Mistvault Bridge,5
Winding Way,5
Idyllic Beachfront,5
Spider Spawning,5
Wilderness Reclamation,5
Wild Mongrel,5
Mirrorshell Crab,5
Untethered Express,5
Brineborn Cutthroat,5
Mire Triton,5
Meteor Golem,5
Reckless Charge,5
Wall of Roots,5
Gnarlwood Dryad,5
Faerie Vandal,5
Lórien Revealed,5
Whitemane Lion,5
Control Magic,5
Skymarcher Aspirant,5
Growth Spiral,5
Spikefield Hazard,5
Winding Constrictor,5
"Grumgully, the Generous",5
Good-Fortune Unicorn,5
Farseek,5
Wooded Ridgeline,5
Grapple with the Past,5
Ultimate Price,5
Gurmag Angler,5
Memnite,5
Emergent Sequence,5
Iron Apprentice,5
Empty the Warrens,5
Geothermal Bog,5
Fleshtaker,5
Frontier Bivouac,5
Sunlit Marsh,5
Exhume,5
Abzan Falconer,4
Strategic Planning,4
Rakdos Signet,4
Darkmoss Bridge,4
Rally at the Hornburg,4
Gush,4
Brainstone,4
Disfigure,4
Blastoderm,4
Planar Disruption,4
Pilgrim's Eye,4
Dockside Chef,4
Sprouting Goblin,4
Phoenix Chick,4
Picklock Prankster,4
Reassembling Skeleton,4
Raven's Crime,4
Darkblast,4
Phyrexian Rager,4
Ancient Tomb,4
Tail Swipe,4
Gleeful Demolition,4
Gut Shot,4
Condemn,4
Deranged Assistant,4
Crystal Shard,4
Boros Signet,4
Woodland Acolyte,4
Reflector Mage,4
Defabricate,4
You Find Some Prisoners,4
Quandrix Apprentice,4
"Denethor, Ruling Steward",4
Spiteful Prankster,4
Break Ties,4
Skirk Marauder,4
Wonder,4
Rustvale Bridge,4
Blood Fountain,4
"Renata, Called to the Hunt",4
Putrid Goblin,4
Step Through,4
Invasion of Mercadia,4
Rimrock Knight,4
Wren's Run Hydra,4
